name	edition_code	card_number	finish	language	store	price	price_unit	currency	quantity	description	link
Swords to Plowshares	DRC	37	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	3	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/DRC/37
Swords to Plowshares	WHO	212	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	1	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/WHO/212
Swords to Plowshares	CMM	841	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	1	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/CMM/841
Swords to Plowshares	DSC	106	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/DSC/106
Swords to Plowshares	MKC	88	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/MKC/88
Swords to Plowshares	MIC	94	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/MIC/94
Swords to Plowshares	DMR	31	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	1	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/DMR/31
Swords to Plowshares	ONC	89	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/ONC/89
Swords to Plowshares	NCC	211	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/NCC/211
Swords to Plowshares	NEC	89	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	4	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/NEC/89
Swords to Plowshares	SCD	37	Finish.NON_FOIL	English	MTG Mate	3.0	dollars	AUD	1	Swords to Plowshares	https://www.mtgmate.com.au/cards/Swords_to_Plowshares/SCD/37
